id,text
1,"The fast brown fox leaps over the lazy dog."
2,"A thousand mile journey begins with one step."
3,"Not all glittering things are gold."
4,"To be, or not to be: that is the question."
5,"Doubts of today limit our dreams of tomorrow."
6,"Those who are too busy to look for success usually find it."
7,"Don’t count the days; make the days count."
8,"The best way to invent the future is by creating it."
9,"Every shot you don’t take is a missed opportunity."
10,"Failure isn’t the end of success; it’s a necessary step."
